nombre,nombre_cientifico,clase,continente,habitat,dieta,peso,tamano,estado_conservacion,image_url,url,image_file
Pigargo europeo,Haliaeetus albicilla,Aves,,"Ríos, marismas, pantanos y lagunas",Piscívoro,3 - 6 kg,80 - 90 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/pigargo-europeo/1%20PIGARGO%20EUROPEO.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/pigargo-europeo,041-1%20PIGARGO%20EUROPEO.jpg
Grulla coronada,Balearica regulorum,Aves,África,"Sabana, bosques, praderas y humedales",Omnívoro,3-4 kg,100-110 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/grulla-coronada/Grulla-coronada-Zoo-Madrid.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/grulla-coronada,042-Grulla-coronada-Zoo-Madrid.jpg
Gacela dama,Nanger dama,Mamíferos,África,Desierto,Herbívoro,35 - 75 kg,"hasta 1,7 m",En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/gacela-dama/Gacela-dama-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gacela-dama,043-Gacela-dama-Zoo-Madrid-main.jpg
Búfalo Rojo,Syncerus caffer nanus,Mamíferos,África,Bosque,Herbívoro,300 Kg,"1,2 m",Datos insuficientes,https://www.zoomadrid.com/content/dam/zoo/images/animals/bufalo-rojo/Bufalo-Rojo-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/bufalo-rojo,044-Bufalo-Rojo-Zoo-Madrid-2.jpg
Tortuga careta,Caretta caretta,Reptiles,,Océanos y mares,Omnívoro,120 kg,120 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortura-careta/Tortuga-careta-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-careta,045-Tortuga-careta-Zoo-Madrid-2.jpg
Chimpancé,Pan troglodytes,Mamíferos,África,Bosque tropical,Omnívoro,30 - 60 kg,Hasta 81 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/chimpance/Chimpance-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/chimpance,046-Chimpance-Zoo-Madrid-3.jpg
Lince ibérico,Lynx pardinus,Mamíferos,Europa,Bosque mediterráneo,Carnívoro,"6,1 - 16 kg","69 - 87,5 cm",En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/lince-iberico/Lince-iberico-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/lince-iberico,047-Lince-iberico-Zoo-Madrid-2.jpg
Rinoceronte indio,Rhinoceros unicornis,Mamíferos,Asia,"Pastizales, bosques y humedales",Herbívoro,1800 - 2700 kg,"3 - 3,8 m",Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/rinocerante-indio/Rinoceronte-indio-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/rinoceronte-indio,048-Rinoceronte-indio-Zoo-Madrid-2.jpg
Koala,Phascolarctos cinereus,Mamíferos,Oceanía,Bosques,Herbívoro,5 - 9 kg,64 - 85 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/koala/Koala-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/koala,049-Koala-Zoo-Madrid-3.jpg
Tortuga carey,Eretmochelys imbricata,Reptiles,,Océanos y mares,Omnívoro,100 - 150 kg,60 - 90 cm,En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortuga-carey/Tortuga-carey-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-carey,050-Tortuga-carey-Zoo-Madrid-main.jpg
Águila Imperial Ibérica,Aquila adalberti,Aves,Europa,"Bosques, marismas y llanuras",Carnívoro,"2,5 - 3,5 kg",68 - 83 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/aguila-imperial-iberica/aguila-imperial-iberica-Zoo-Madrid-2.png,https://www.zoomadrid.com/animales-y-continentes/animales/aguila-imperial-iberica,051-aguila-imperial-iberica-Zoo-Madrid-2.png
Pelícano rosado,Pelecanus rufescens,Aves,África,"Ríos, marismas, pantanos y lagunas",Piscívoro,4 - 7 kg,125 - 132 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/pelicano-gris/pelicano-gris-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/pelicano-gris,052-pelicano-gris-Zoo-Madrid-main.jpg
Binturong,Arctitis binturong,Mamíferos,Asia,Bosque tropical,Omnívoro,9 - 20 kg,140 - 160 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/binturong/Binturong-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/binturong,053-Binturong-Zoo-Madrid-main.jpg
Mapache,Procyon lotor,Mamíferos,América del Norte,Bosque,Omnívoro,4 - 12 kg,40 - 60 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/mapache/Mapache-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/mapache,054-Mapache-Zoo-Madrid-main.jpg
Avestruz,Struthio camelus,Aves,África,Sabana,Omnívoro,90 - 130 kg,"1,7 - 2,7 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/avestruz/Avestruz-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/avestruz,055-Avestruz-Zoo-Madrid-main.jpg
Flamenco caribeño,Phoenicopterus ruber,Aves,América Central y el Caribe,"Ríos, marismas, pantanos y lagunas",Piscívoro,3 kg,"1,35 - 1,55 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/flamenco-caribe%C3%B1o/Flamenco-caribe%C3%B1o-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/flamenco-caribeno,056-Flamenco-caribe%C3%B1o-Zoo-Madrid-2.jpg
León marino de la Patagonia,Otaria flavescens,Mamíferos,América del Sur,Océanos y mares,Piscívoro,140 a 350 kg,"1,5 - 2,6 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/leon-marino-de-la-patagonia/Leon-marino-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/leon-marino-de-la-patagonia,057-Leon-marino-Zoo-Madrid-main.jpg
Cigüeña blanca,Ciconia ciconia,Aves,África,"Ríos, marismas, pantanos y lagunas",Carnívora,"2,3 - 4,5 kg","1 - 2,20 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/cig%C3%BCe%C3%B1a-blanca/Ciguena-blanca-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/cigueena-blanca,058-Ciguena-blanca-Zoo-Madrid-main.jpg
Mero gigante,Epinephelus lanceolatus,Peces,Asia,Océanos y mares,Piscívoro,200 -400 kg,"2,7 m",Datos insuficientes,https://www.zoomadrid.com/content/dam/zoo/images/animals/mero-gigante/Mero-gigante-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/mero-gigante,059-Mero-gigante-Zoo-Madrid-main.jpg
Pigargo vocinglero,Haliaeetus vocifer,Aves,África,"Bosques, humedales y costas",Piscívoro,"1,9 - 3,6 kg",74 - 84 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/pigargo-vocinglero/Pigargo-vocinglero-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/pigargo-vocinglero,060-Pigargo-vocinglero-Zoo-Madrid-2.jpg
Tortuga verde,Chelonia mydas,Reptiles,,Océanos y mares,Herbívoro,80 - 100 kg,90 - 160 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortuga-verde/Tortuga-verde-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-verde,061-Tortuga-verde-Zoo-Madrid-main.jpg
Guacamayo azul de pecho amaril,Ara ararauna,Aves,América del Sur,Bosque tropical,Frugívoro,"1,1 kg",97 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/guacamayo-azul-de-pecho-amarillo/Guacamano-azul-de-pecho-amarilo-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/guacamayo-azul-de-pecho-amarillo,062-Guacamano-azul-de-pecho-amarilo-Zoo-Madrid-2.jpg
Lémur de cola anillada,Lemur catta,Mamíferos,África,"Bosque caducifolio, litorales y matorrales",Frugívoro,"2,5 - 3,5 kg",39 - 60 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/lemur-de-cola-anillada/Lemur-de-cola-anillada-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/lemur-de-cola-anillada,063-Lemur-de-cola-anillada-Zoo-Madrid-main.jpg
Cebra de Burchell,Equus quagga burchellii,Mamíferos,África,Sabana,Herbívoro,160 - 385 kg,217 - 240 cm,Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/cebra-damara/Cebra-damara-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/cebra-damara,064-Cebra-damara-Zoo-Madrid-main.jpg
Reno,Rangifer tarandus,Mamíferos,,"Bosque templado, taiga y tundra",Herbívoro,65 - 210 kg,"1,2 - 2,1 m",Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/reno/Reno-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/reno,065-Reno-Zoo-Madrid-2.jpg
Gibón de manos blancas,Hylobates lar,Mamíferos,Asia,Bosque,Herbívoro,5 - 8 kg,50 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/gib%C3%B3n-de-manos-blancas/Gibon-de-manos-blancas-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gibon-de-manos-blancas,066-Gibon-de-manos-blancas-Zoo-Madrid-main.jpg
Papión,Papio cynocephalus,Mamíferos,África,Sabana y bosques,Omnívoro,11 - 25 kg,50 - 120 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/papion/Papion-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/papion,067-Papion-Zoo-Madrid-2.jpg
León asiático,Panthera leo persica,Mamíferos,Asia,Bosque,Carnívoro,120 - 190 kg,"1,10 - 1,40 m",En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/leon-asiatico/Leon-asiatico-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/leon-asiatico,068-Leon-asiatico-Zoo-Madrid-main.jpg
Oso hormiguero gigante,Myrmecophaga tridactyla,Mamíferos,América Central y el Caribe,"Bosques tropicales, sabanas y pastizales",Insectívoro,20 - 40 kg,2 m,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/oso-hormiguero/Oso-hormiguero-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/oso-hormiguero,069-Oso-hormiguero-Zoo-Madrid-main.jpg
Rinoceronte blanco,Ceratotherium simum,Mamíferos,África,Sabana y praderas,Herbívoro,2500 - 3500 kg,"1,6 - 2 m",Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/rinocerante-blanco/Rinoceronte-blanco-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/rinoceronte-blanco,070-Rinoceronte-blanco-Zoo-Madrid-main.jpg
Tigre siberiano,Panthera tigris altaica,Mamíferos,Asia,"Bosques caducifolios, coníferos y matorrales",Carnívoro,90 - 300 kg,"1,5 - 2,9 m",En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/tigre-siberiano/tigre-siberiano_1.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tigre-siberiano,071-tigre-siberiano_1.jpg
Mono capuchino,Sapajus apella,Mamíferos,América del Sur,Bosque tropical,Omnívoro,"1,40 - 4,8 kg",32 - 55 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/mono-capuchino/Mono-capuchino-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/mono-capuchino,072-Mono-capuchino-Zoo-Madrid-main.jpg
Bisonte europeo,Bison bonasus,Mamíferos,Europa,Bosques caducifolios y mixtos,Herbívoro,Entre los 400-1000kg,"Entre 2,50 y 3,50 m. de largo y entre 1,50-2,00 m. de altura en la cruz",Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/bisonte-europeo/bisonte_europeo_02.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/bisonte-europeo,073-bisonte_europeo_02.jpg
Tortuga de espolones,Geochelone sulcata,Reptiles,África,Matorrales y pastizales,Herbívoro,50-100 kg,60-85 cm de longitud,En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortuga-de-espolones/tortuga_espolones_01.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-de-espolones,074-tortuga_espolones_01.jpg
Ñandú,Rhea americana,Aves,América del Sur,Sabanas y praderas,Omnívoro,15 - 36 kg,"1,30 - 1,70 m",Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/%C3%B1andu/Nandu-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/nandu,075-Nandu-Zoo-Madrid-main.jpg
Panda rojo,Ailurus fulgens,Mamíferos,Asia,Bosque templado y taiga,Herbívoro,"3 - 6,2 kg",45 - 60 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/panda-rojo/Panda-rojo-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/panda-rojo,076-Panda-rojo-Zoo-Madrid-2.jpg
Tiburón gris,Carcharhinus plumbeus,Peces,,Océanos y mares,Carnívoro,118 kg,"2,5 m",En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/tiburon-gris/Tiburon-gris-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tiburon-gris,077-Tiburon-gris-Zoo-Madrid-2.jpg
Nutrias gigantes del Amazonas,Pteronura brasiliensis,Mamíferos,América del Sur,"Ríos, marismas, pantanos y lagunas",Carnívoro,24 - 34 kg,145 - 180 cm,En peligro,https://www.zoomadrid.com/content/dam/zoo/images/animals/nutrias-gigantes-del-amazonas/Nutrias-gigantes-Amazonas-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/nutrias-gigantes-del-amazonas,078-Nutrias-gigantes-Amazonas-Zoo-Madrid-main.jpg
Tortuga de Seychelles,Geochelone gigantea,Reptiles,Asia,Manglares y zonas de densa vegetación,Herbívoro,150 - 250 kg,Hasta 120 cm de longitud,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/tortuga-seychelles/tortuga_seychelles_01.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/tortuga-de-seychelles-o-de-aldabra,079-tortuga_seychelles_01.jpg
Ciervo europeo,Cervus elaphus,Mamíferos,Europa,Se adapta a variedad de ambientes,Herbívoro,Hasta 200kg,Entre 160 y 250cm de longitud,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/ciervo-europeo/zoo-madrid-ciervo-europeo%20(1).jpg,https://www.zoomadrid.com/animales-y-continentes/animales/ciervo-europeo,080-zoo-madrid-ciervo-europeo%20(1).jpg
